案場名稱,年份,月份,時間分類,平均使用率,實際資料筆數,裝置容量,理論時段數,資料完整率
王功 (wind),2022,12,off-peak,73.86,2033,23.0,2034,99.95
王功 (wind),2023,1,mid-peak,66.93,2328,23.0,2340,99.49
王功 (wind),2023,1,off-peak,63.63,2124,23.0,2124,100.0
王功 (wind),2023,2,mid-peak,64.09,2159,23.0,2160,99.95
王功 (wind),2023,2,off-peak,59.93,1871,23.0,1872,99.95
王功 (wind),2023,3,mid-peak,39.48,2339,23.0,2430,96.26
王功 (wind),2023,3,off-peak,42.69,2026,23.0,2034,99.61
王功 (wind),2023,4,mid-peak,30.95,2140,23.0,2250,95.11
王功 (wind),2023,4,off-peak,29.58,1884,23.0,2070,91.01
王功 (wind),2023,5,mid-peak,20.17,1995,23.0,1998,99.85
王功 (wind),2023,5,off-peak,12.25,2034,23.0,2034,100.0
王功 (wind),2023,5,peak,12.25,432,23.0,432,100.0
王功 (wind),2023,6,mid-peak,9.84,1543,23.0,1548,99.68
王功 (wind),2023,6,off-peak,3.03,1980,23.0,1980,100.0
王功 (wind),2023,6,peak,6.63,790,23.0,792,99.75
王功 (wind),2023,7,mid-peak,21.74,1507,23.0,1584,95.14
王功 (wind),2023,7,off-peak,15.49,2056,23.0,2124,96.8
王功 (wind),2023,7,peak,23.4,665,23.0,756,87.96
王功 (wind),2023,8,mid-peak,14.84,1574,23.0,1602,98.25
王功 (wind),2023,8,off-peak,7.95,2031,23.0,2034,99.85
王功 (wind),2023,8,peak,14.66,775,23.0,828,93.6
王功 (wind),2023,9,mid-peak,6.65,1567,23.0,1584,98.93
王功 (wind),2023,9,off-peak,3.7,1964,23.0,1980,99.19
王功 (wind),2023,9,peak,10.21,754,23.0,756,99.74
王功 (wind),2023,10,mid-peak,35.97,1961,23.0,1980,99.04
王功 (wind),2023,10,off-peak,29.92,2120,23.0,2124,99.81
王功 (wind),2023,10,peak,58.99,342,23.0,360,95.0
王功 (wind),2023,11,mid-peak,39.15,2338,23.0,2340,99.91
王功 (wind),2023,11,off-peak,30.68,1980,23.0,1980,100.0
王功 (wind),2023,12,mid-peak,48.7,2324,23.0,2340,99.32
王功 (wind),2023,12,off-peak,47.32,1961,23.0,2124,92.33
觀園 (wind),2022,1,mid-peak,63.85,2180,30.0,2340,93.16
觀園 (wind),2022,1,off-peak,62.81,2044,30.0,2124,96.23
觀園 (wind),2022,2,mid-peak,65.84,2160,30.0,2160,100.0
觀園 (wind),2022,2,off-peak,66.98,1872,30.0,1872,100.0
觀園 (wind),2022,3,mid-peak,29.91,2430,30.0,2430,100.0
觀園 (wind),2022,3,off-peak,27.1,2034,30.0,2034,100.0
觀園 (wind),2022,4,mid-peak,34.93,2340,30.0,2340,100.0
觀園 (wind),2022,4,off-peak,29.03,1980,30.0,1980,100.0
觀園 (wind),2022,5,mid-peak,35.18,1872,30.0,1908,98.11
觀園 (wind),2022,5,off-peak,37.8,2037,30.0,2124,95.9
觀園 (wind),2022,5,peak,32.23,432,30.0,432,100.0
觀園 (wind),2022,6,mid-peak,24.89,1506,30.0,1548,97.29
